BallSpeed,WaveInterval,BallsPerWave,WaveDelay,DistractionCount,DistractionSpeed,CubeMode,BallSize,ColorShift,SpawnDistance,SuccessTarget
5.865376,1.621511,1,0.4377139,1,2.344248,1,0.9396893,0,11.83739,1
6.401271,1.671267,3,0.5513132,2,3.690289,2,1.00347,0,10.52015,0
6.401271,1.671267,3,0.5513132,2,3.690289,2,1.00347,0,10.52015,0
6.401271,1.671267,3,0.5513132,2,3.690289,2,1.00347,0,10.52015,0
5.484754,2.25306,1,0.4272278,2,3.008191,0,0.936093,0,9.946268,0
6.267503,1.908527,1,0.5871836,4,3.575903,2,1.15827,0,10.37682,1
6.139996,1.467642,2,0.5575837,4,3.47632,2,0.9274553,0,9.219568,1
6.139996,1.467642,2,0.5575837,4,3.47632,2,0.9274553,0,9.219568,0
4.499405,1.968965,2,0.2404714,1,2.31891,1,1.030675,0,9.607965,1
4.499405,1.968965,2,0.2404714,1,2.31891,1,1.030675,0,9.607965,0
6.058317,2.329923,3,0.5404684,1,3.424435,2,1.164296,1,11.47314,0
6.058317,2.329923,3,0.5404684,1,3.424435,2,1.164296,1,11.47314,0
6.058317,2.329923,3,0.5404684,1,3.424435,2,1.164296,1,11.47314,0
5.579134,2.133155,2,0.5294884,2,2.926152,0,0.7823102,0,9.369404,1
5.579134,2.133155,2,0.5294884,2,2.926152,0,0.7823102,0,9.369404,0
3.7727,2.283525,3,0.3211873,3,2.944108,0,0.9973906,0,10.76569,0
3.7727,2.283525,3,0.3211873,3,2.944108,0,0.9973906,0,10.76569,0
3.648982,2.276227,2,0.5224246,3,2.962543,1,0.8056675,0,10.48726,1
3.648982,2.276227,2,0.5224246,3,2.962543,1,0.8056675,0,10.48726,0
4.402865,2.040838,2,0.2062757,4,3.339604,1,0.8071108,0,10.17638,1
4.402865,2.040838,2,0.2062757,4,3.339604,1,0.8071108,0,10.17638,1
5.005385,2.076141,2,0.5895733,1,2.711648,1,0.813647,0,9.391146,1
5.005385,2.076141,2,0.5895733,1,2.711648,1,0.813647,0,9.391146,1
5.92009,1.242005,2,0.2261001,2,1.600653,0,0.9672672,1,9.423117,1
5.92009,1.242005,2,0.2261001,2,1.600653,0,0.9672672,1,9.423117,0
5.619625,1.881786,3,0.4129991,0,3.104947,1,1.003495,0,9.127024,1
